Anio;Mes;CodigoPais;PaisOrigen;CodigoDepto;DepartamentoDestino;Partida;Cadena;Producto;CodigoUnidad;CantidadUnidades;ValorMilesCIFDol;ValorMilesPesos;ValorMilesFOBDol;VolumenToneladas
2018;Abril;493;México;5;Antioquia;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;60;0.24;654.72;0.24;0.06
2018;Abril;493;México;11;Bogotá;1806201000 - Las demás preparaciones alimenticias que contengan cacao, sin adición de azúcar, ni otros edulcorantes, en bloques o barras con peso superior a 2 kg, o en forma líquida, pastosa, en polvo, gránulos o en formas similares, en recipientes o envases inmediato;Cacao y su Industria;Cacao;KG;15700;49.9;135225.7;46.97;15.7
2018;Abril;493;México;11;Bogotá;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;2716.56;9.99;27851.89;9.34;2.72
2018;Abril;493;México;11;Bogotá;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;1959;7.4;20630.42;6.93;1.96
2018;Abril;827;Turquía;11;Bogotá;1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao, en bloques, tabletas o barras, sin rellenar.;Cacao y su Industria;Chocolates;KG;1010;1.68;4552.63;1.07;1.01
2018;Abril;493;México;11;Bogotá;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;10557.6;72.2;201457.9;68.75;10.56
2018;Abril;493;México;11;Bogotá;1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao, en bloques, tabletas o barras, sin rellenar.;Cacao y su Industria;Chocolates;KG;145.09;1;2768.5;0.98;0.15
2018;Abril;493;México;11;Bogotá;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;55457.91;215.82;588687.91;203.17;55.46
2018;Abril;827;Turquía;5;Antioquia;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;4743.22;10.32;29228.77;9.51;4.74
2018;Abril;827;Turquía;5;Antioquia;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;23135.68;77.03;214177.98;73.03;23.14
2018;Abril;827;Turquía;11;Bogotá;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;48372.1;29.6;81273;25.07;48.37
2018;Abril;827;Turquía;11;Bogotá;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;3016.8;16.59;46111.94;15.08;3.02
2018;Abril;493;México;11;Bogotá;1806320090 - Los demás chocolates y demás preparaciones alimenticas que contengan cacao, en bloques, tabletas o barras, sin rellenar.;Cacao y su Industria;Chocolates;KG;2285.74;16.57;45551.82;16.14;2.29
2018;Abril;245;España;25;Cundinamarca;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;10;0.2;561.57;0.09;0.01
2018;Abril;211;Chile;25;Cundinamarca;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;548;1;2702.93;0.99;0.55
2018;Abril;211;Chile;66;Risaralda;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;14592;56;156096.51;54.72;14.59
2018;Abril;245;España;5;Antioquia;1805000000 - Cacao en polvo sin adición de azúcar ni otro edulcorante.;Cacao y su Industria;Cacao;KG;21000;43.94;119081.1;42.84;21
2018;Abril;245;España;5;Antioquia;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;3216;22.87;62312.22;21.35;3.22
2018;Abril;245;España;11;Bogotá;1805000000 - Cacao en polvo sin adición de azúcar ni otro edulcorante.;Cacao y su Industria;Cacao;KG;25000;46.09;128475.14;45.14;25
2018;Abril;249;Estados Unidos;11;Bogotá;1806900090 - Los demás chocolates y demás preparaciones alimenticias que contengan cacao.;Cacao y su Industria;Chocolates;KG;3968.04;30.76;84449.82;29.02;3.97
2018;Abril;249;Estados Unidos;25;Cundinamarca;1806209000 - Las demás preparciones alimenticias que contengan cacao, en bloques o barras con peso superior a 2 kg, o en forma líquida, pastosa, en polvo, gránulos o en formas similares, en recipientes o envases inmediatos con un contenido superior a 2 kg.;Cacao y su Industria;Cacao;KG;16329.31;35.07;96216.87;30.92;16.33
2018;Abril;249;Estados Unidos;5;Antioquia;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;1468.53;23.91;64801.72;22.9;1.47
2018;Abril;249;Estados Unidos;5;Antioquia;"1806310000 - ""Los demás chocolates y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, """"rellenos"""".""";Cacao y su Industria;Chocolates;KG;1166.51;4.79;12985.87;4.24;1.17
